STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
47,001,020100,3111,+36.001828,-084.268796
47,001,020201,3670,+36.017235,-084.213287
47,001,020202,4507,+36.022426,-084.228827
47,001,020300,3822,+36.041852,-084.226627
47,001,020400,4508,+36.026023,-084.255785
47,001,020500,3864,+36.014143,-084.283036
47,001,020600,2427,+36.001636,-084.308055
47,001,020700,1668,+36.187349,-084.212278
47,001,020800,4875,+36.209390,-084.141887
47,001,020901,5837,+36.202792,-084.030302
47,001,020902,5815,+36.150756,-084.082564
47,001,021000,6108,+36.052115,-084.293492
47,001,021100,3980,+36.076311,-084.182827
47,001,021201,4887,+36.123881,-084.151750
47,001,021202,5372,+36.105701,-084.130448
47,001,021301,3302,+36.069350,-084.144700
47,001,021302,7376,+36.032394,-084.120264
47,001,980100,0,+35.964838,-084.255009
47,003,950100,3672,+35.599797,-086.390339
47,003,950200,6909,+35.612622,-086.564413
47,003,950300,3532,+35.466245,-086.586460
47,003,950401,5423,+35.466856,-086.472269
47,003,950402,6901,+35.508210,-086.481369
47,003,950500,5928,+35.502290,-086.442722
47,003,950600,6979,+35.478053,-086.432026
47,003,950700,2763,+35.523324,-086.332496
47,003,950800,2951,+35.409204,-086.371231
47,005,963000,3409,+36.223945,-088.059584
47,005,963100,3074,+36.092862,-088.069110
47,005,963200,2088,+35.897946,-088.081018
47,005,963300,3692,+36.065880,-088.101875
47,005,963400,4226,+36.023699,-088.123808
47,007,953000,3321,+35.561792,-085.119781
47,007,953100,5195,+35.592467,-085.204392
47,007,953200,4360,+35.673907,-085.243783
47,009,010100,2718,+35.777599,-083.969990
47,009,010200,5721,+35.793661,-083.990742
47,009,010301,5275,+35.854842,-083.972343
47,009,010302,3296,+35.827548,-084.010926
47,009,010400,3217,+35.828471,-083.934257
47,009,010500,2700,+35.753302,-083.982672
47,009,010600,4243,+35.746989,-083.972179
47,009,010700,4680,+35.765084,-083.948832
47,009,010800,3227,+35.780230,-083.956064
47,009,010900,5812,+35.786846,-083.930817
47,009,011001,5524,+35.758297,-083.921937
47,009,011002,3986,+35.749168,-083.881990
47,009,011101,5223,+35.716717,-083.952552
47,009,011102,8743,+35.718804,-083.982860
47,009,011200,7915,+35.744291,-084.014815
47,009,011301,5709,+35.840841,-083.823901
47,009,011302,5290,+35.799602,-083.813270
47,009,011401,1778,+35.704666,-083.761228
47,009,011402,4437,+35.688735,-083.854562
47,009,011501,1738,+35.615664,-084.010020
47,009,011502,4065,+35.633350,-084.106758
47,009,011503,6789,+35.673491,-084.015762
47,009,011602,9061,+35.703453,-084.074454
47,009,011603,4801,+35.744942,-084.104187
47,009,011604,3757,+35.779901,-084.053505
47,009,011605,3278,+35.804962,-084.122372
47,009,980100,2,+35.811185,-084.007060
47,009,980200,25,+35.623583,-083.711687
47,011,010100,4719,+35.197924,-084.866523
47,011,010200,5082,+35.184538,-084.849209
47,011,010300,2570,+35.163603,-084.841156
47,011,010400,2500,+35.162774,-084.862596
47,011,010500,3777,+35.166457,-084.873140
47,011,010600,3196,+35.176394,-084.883317
47,011,010700,4818,+35.144177,-084.882564
47,011,010800,3327,+35.143587,-084.865037
47,011,010900,2880,+35.125539,-084.850770
47,011,011000,6058,+35.118334,-084.879912
47,011,011100,9732,+35.171569,-084.785757
47,011,011201,6054,+35.234965,-084.797205
47,011,011202,8917,+35.235089,-084.846839
47,011,011300,7259,+35.217763,-084.929867
47,011,011401,7617,+35.210409,-084.904095
47,011,011402,2938,+35.174036,-084.896902
47,011,011500,7743,+35.073668,-084.923196
47,011,011601,4986,+35.119033,-084.788408
47,011,011602,4790,+35.050058,-084.816839
47,013,950100,3274,+36.509049,-084.084242
47,013,950200,2580,+36.580542,-084.135270
47,013,950300,1896,+36.515753,-084.227165
47,013,950400,4804,+36.279146,-084.196448
47,013,950500,5213,+36.329484,-084.190809
47,013,950600,4684,+36.368261,-084.132328
47,013,950700,4702,+36.384999,-084.102185
47,013,950800,2374,+36.428115,-083.988654
47,013,950900,2999,+36.397026,-084.028933
47,013,951000,2604,+36.355188,-084.073218
47,013,951100,5586,+36.309926,-084.139911
47,015,960100,3859,+35.881027,-086.061641
47,015,960200,6602,+35.791342,-086.077671
47,015,960300,3340,+35.724819,-086.034024
47,017,962000,4447,+36.044298,-088.275725
47,017,962100,6823,+36.006504,-088.420903
47,017,962201,3183,+36.114878,-088.530949
47,017,962202,4469,+36.133341,-088.496785
47,017,962300,4672,+35.988582,-088.614992
47,017,962400,2599,+35.856943,-088.591098
47,017,962500,2329,+35.887072,-088.356321
47,017,980100,0,+35.873026,-088.683649
47,019,070100,1995,+36.351568,-082.217203
47,019,070200,3890,+36.329789,-082.251619
47,019,070300,5802,+36.339021,-082.222136
47,019,070400,2260,+36.344784,-082.196788
47,019,070500,4108,+36.333507,-082.171527
47,019,070600,2639,+36.304852,-082.210522
