,NAME,Workers - Commute Method,Work From Home,Proportion Work From Home,Workers - Commute Length,Median Commute Length,TractCode
0,"Census Tract 114.13, Hamilton County, Tennessee",4078,201,4.93,3877,29.59,47065011413
1,"Census Tract 9502, Hardeman County, Tennessee",921,38,4.13,883,37.32,47069950200
2,"Census Tract 9504, Hardeman County, Tennessee",2077,61,2.94,2016,33.13,47069950400
3,"Census Tract 9501, Hardeman County, Tennessee",1431,77,5.38,1354,38.87,47069950100
4,"Census Tract 9505, Hardeman County, Tennessee",1476,94,6.37,1382,39.44,47069950500
5,"Census Tract 9506, Hardeman County, Tennessee",730,19,2.6,711,42.32,47069950600
6,"Census Tract 1101, Morgan County, Tennessee",1006,19,1.89,987,33.21,47129110100
7,"Census Tract 1105, Morgan County, Tennessee",1691,67,3.96,1624,37.24,47129110500
8,"Census Tract 1103, Morgan County, Tennessee",1465,38,2.59,1427,33.35,47129110300
9,"Census Tract 1104, Morgan County, Tennessee",1587,73,4.6,1514,32.77,47129110400
10,"Census Tract 1102, Morgan County, Tennessee",1281,16,1.25,1265,44.26,47129110200
11,"Census Tract 9550, Grundy County, Tennessee",821,68,8.28,753,34.24,47061955000
12,"Census Tract 9553, Grundy County, Tennessee",1883,138,7.33,1745,33.98,47061955300
13,"Census Tract 9551, Grundy County, Tennessee",513,27,5.26,486,27.39,47061955100
14,"Census Tract 9552, Grundy County, Tennessee",1454,83,5.71,1371,41.44,47061955200
15,"Census Tract 9690, Henry County, Tennessee",1387,78,5.62,1309,33.21,47079969000
16,"Census Tract 9691, Henry County, Tennessee",1279,49,3.83,1230,28.55,47079969100
17,"Census Tract 9693, Henry County, Tennessee",1056,98,9.28,958,17.46,47079969300
18,"Census Tract 9695, Henry County, Tennessee",2176,48,2.21,2128,18.0,47079969500
19,"Census Tract 9696, Henry County, Tennessee",3280,98,2.99,3182,22.73,47079969600
20,"Census Tract 9697, Henry County, Tennessee",611,37,6.06,574,31.22,47079969700
21,"Census Tract 9692, Henry County, Tennessee",769,71,9.23,698,28.37,47079969200
22,"Census Tract 9698, Henry County, Tennessee",979,12,1.23,967,28.5,47079969800
23,"Census Tract 9694, Henry County, Tennessee",734,5,0.68,729,21.06,47079969400
