,TractCode,CountBlocks,Blocks With Choice,Blocks With Choice 3mbps,Blocks With Choice 12mbps,Blocks With Choice 25mbps,Prop With Choice,Prop With Choice 25mbps
0,47001020100,91,71.0,59.0,46.0,37.0,78.02,40.66
1,47001020201,77,37.0,28.0,20.0,18.0,48.05,23.38
2,47001020202,127,89.0,84.0,56.0,45.0,70.08,35.43
3,47001020300,50,48.0,42.0,38.0,36.0,96.0,72.0
4,47001020400,94,86.0,81.0,70.0,58.0,91.49,61.7
5,47001020500,85,62.0,52.0,45.0,41.0,72.94,48.24
6,47001020600,44,44.0,44.0,44.0,44.0,100.0,100.0
7,47001020700,298,80.0,21.0,13.0,8.0,26.85,2.68
8,47001020800,245,194.0,154.0,108.0,48.0,79.18,19.59
9,47001020901,231,132.0,91.0,72.0,52.0,57.14,22.51
10,47001020902,255,154.0,103.0,90.0,66.0,60.39,25.88
11,47001021000,281,183.0,136.0,104.0,90.0,65.12,32.03
12,47001021100,88,68.0,55.0,55.0,43.0,77.27,48.86
13,47001021201,93,65.0,59.0,46.0,22.0,69.89,23.66
14,47001021202,171,150.0,147.0,98.0,50.0,87.72,29.24
15,47001021301,97,74.0,68.0,58.0,51.0,76.29,52.58
16,47001021302,158,126.0,105.0,95.0,63.0,79.75,39.87
17,47001980100,73,5.0,2.0,0.0,0.0,6.85,0.0
18,47003950100,244,173.0,173.0,115.0,110.0,70.9,45.08
19,47003950200,313,232.0,232.0,151.0,151.0,74.12,48.24
20,47003950300,193,121.0,120.0,60.0,58.0,62.69,30.05
21,47003950401,166,150.0,150.0,129.0,122.0,90.36,73.49
22,47003950402,243,214.0,214.0,204.0,200.0,88.07,82.3
23,47003950500,227,182.0,181.0,176.0,167.0,80.18,73.57
24,47003950600,230,207.0,205.0,199.0,192.0,90.0,83.48
25,47003950700,249,141.0,137.0,94.0,85.0,56.63,34.14
26,47003950800,260,136.0,134.0,86.0,83.0,52.31,31.92
27,47005963000,137,119.0,115.0,58.0,52.0,86.86,37.96
28,47005963100,121,86.0,86.0,7.0,6.0,71.07,4.96
29,47005963200,124,10.0,8.0,0.0,0.0,8.06,0.0
30,47005963300,231,198.0,195.0,153.0,83.0,85.71,35.93
31,47005963400,273,168.0,162.0,46.0,32.0,61.54,11.72
32,47007953000,259,123.0,119.0,4.0,3.0,47.49,1.16
33,47007953100,618,285.0,285.0,2.0,2.0,46.12,0.32
34,47007953200,294,32.0,32.0,0.0,0.0,10.88,0.0
35,47009010100,189,157.0,155.0,151.0,145.0,83.07,76.72
36,47009010200,274,199.0,187.0,180.0,175.0,72.63,63.87
37,47009010301,249,154.0,147.0,116.0,113.0,61.85,45.38
38,47009010302,377,239.0,206.0,183.0,168.0,63.4,44.56
39,47009010400,249,216.0,205.0,202.0,198.0,86.75,79.52
40,47009010500,127,126.0,123.0,123.0,123.0,99.21,96.85
41,47009010600,127,120.0,113.0,113.0,106.0,94.49,83.46
42,47009010700,104,101.0,101.0,100.0,97.0,97.12,93.27
43,47009010800,110,104.0,104.0,104.0,102.0,94.55,92.73
44,47009010900,137,136.0,133.0,132.0,132.0,99.27,96.35
45,47009011001,135,121.0,111.0,108.0,106.0,89.63,78.52
46,47009011002,78,63.0,60.0,56.0,53.0,80.77,67.95
47,47009011101,95,93.0,72.0,70.0,69.0,97.89,72.63
48,47009011102,143,127.0,116.0,115.0,110.0,88.81,76.92
49,47009011200,367,291.0,267.0,247.0,227.0,79.29,61.85
50,47009011301,140,138.0,136.0,135.0,135.0,98.57,96.43
51,47009011302,142,120.0,109.0,98.0,94.0,84.51,66.2
52,47009011401,164,96.0,65.0,38.0,16.0,58.54,9.76
53,47009011402,237,172.0,127.0,106.0,86.0,72.57,36.29
54,47009011501,154,41.0,29.0,20.0,18.0,26.62,11.69
55,47009011502,77,55.0,52.0,39.0,34.0,71.43,44.16
56,47009011503,176,149.0,141.0,116.0,111.0,84.66,63.07
57,47009011602,180,155.0,151.0,138.0,133.0,86.11,73.89
58,47009011603,225,197.0,134.0,98.0,57.0,87.56,25.33
59,47009011604,131,96.0,84.0,76.0,66.0,73.28,50.38
60,47009011605,116,87.0,45.0,39.0,24.0,75.0,20.69
61,47009980100,50,6.0,6.0,6.0,6.0,12.0,12.0
62,47009980200,70,5.0,0.0,0.0,0.0,7.14,0.0
63,47011010100,186,111.0,110.0,90.0,88.0,59.68,47.31
64,47011010200,149,111.0,94.0,89.0,87.0,74.5,58.39
65,47011010300,83,58.0,56.0,47.0,42.0,69.88,50.6
66,47011010400,115,108.0,108.0,106.0,84.0,93.91,73.04
67,47011010500,176,171.0,171.0,171.0,126.0,97.16,71.59
68,47011010600,139,100.0,98.0,84.0,76.0,71.94,54.68
69,47011010700,186,156.0,154.0,132.0,93.0,83.87,50.0
70,47011010800,110,92.0,91.0,89.0,87.0,83.64,79.09
71,47011010900,105,73.0,71.0,71.0,71.0,69.52,67.62
72,47011011000,140,124.0,121.0,120.0,119.0,88.57,85.0
73,47011011100,211,147.0,145.0,132.0,121.0,69.67,57.35
74,47011011201,235,159.0,153.0,141.0,85.0,67.66,36.17
75,47011011202,200,102.0,101.0,97.0,95.0,51.0,47.5
76,47011011300,307,169.0,166.0,149.0,141.0,55.05,45.93
77,47011011401,193,121.0,120.0,117.0,113.0,62.69,58.55
78,47011011402,115,69.0,69.0,62.0,51.0,60.0,44.35
79,47011011500,336,155.0,147.0,130.0,123.0,46.13,36.61
80,47011011601,79,66.0,64.0,59.0,57.0,83.54,72.15
81,47011011602,101,83.0,79.0,64.0,60.0,82.18,59.41
82,47013950100,285,100.0,30.0,11.0,1.0,35.09,0.35
83,47013950200,154,153.0,102.0,86.0,4.0,99.35,2.6
84,47013950300,171,65.0,7.0,0.0,0.0,38.01,0.0
85,47013950400,339,189.0,137.0,46.0,38.0,55.75,11.21
86,47013950500,181,168.0,168.0,150.0,137.0,92.82,75.69
87,47013950600,160,157.0,156.0,141.0,111.0,98.12,69.38
88,47013950700,148,139.0,128.0,110.0,101.0,93.92,68.24
89,47013950800,97,71.0,70.0,49.0,37.0,73.2,38.14
90,47013950900,83,56.0,54.0,49.0,37.0,67.47,44.58
91,47013951000,72,47.0,35.0,31.0,30.0,65.28,41.67
