,TractCode,CountBlocks,Consumer Blocks Served Any Pro,Consumer Blocks Served Any Pro 25mbps,Prop Served By Any,Prop Served By Any 25mbps
0,47001020100,91,85,63.0,93.41,69.23
1,47001020201,77,76,34.0,98.7,44.16
2,47001020202,127,124,79.0,97.64,62.2
3,47001020300,50,50,48.0,100.0,96.0
4,47001020400,94,93,80.0,98.94,85.11
5,47001020500,85,84,62.0,98.82,72.94
6,47001020600,44,44,44.0,100.0,100.0
7,47001020700,298,298,261.0,100.0,87.58
8,47001020800,245,245,191.0,100.0,77.96
9,47001020901,231,230,124.0,99.57,53.68
10,47001020902,255,254,153.0,99.61,60.0
11,47001021000,281,279,189.0,99.29,67.26
12,47001021100,88,87,63.0,98.86,71.59
13,47001021201,93,91,81.0,97.85,87.1
14,47001021202,171,165,134.0,96.49,78.36
15,47001021301,97,95,71.0,97.94,73.2
16,47001021302,158,157,119.0,99.37,75.32
17,47001980100,73,72,2.0,98.63,2.74
18,47003950100,244,244,224.0,100.0,91.8
19,47003950200,313,313,256.0,100.0,81.79
20,47003950300,193,193,145.0,100.0,75.13
21,47003950401,166,166,164.0,100.0,98.8
22,47003950402,243,243,243.0,100.0,100.0
23,47003950500,227,227,226.0,100.0,99.56
24,47003950600,230,230,230.0,100.0,100.0
25,47003950700,249,249,247.0,100.0,99.2
26,47003950800,260,260,207.0,100.0,79.62
27,47005963000,137,137,114.0,100.0,83.21
28,47005963100,121,121,88.0,100.0,72.73
29,47005963200,124,124,5.0,100.0,4.03
30,47005963300,231,231,231.0,100.0,100.0
31,47005963400,273,273,210.0,100.0,76.92
32,47007953000,259,259,91.0,100.0,35.14
33,47007953100,618,618,280.0,100.0,45.31
34,47007953200,294,294,30.0,100.0,10.2
35,47009010100,189,189,189.0,100.0,100.0
36,47009010200,274,274,273.0,100.0,99.64
37,47009010301,249,249,246.0,100.0,98.8
38,47009010302,377,377,372.0,100.0,98.67
39,47009010400,249,249,249.0,100.0,100.0
40,47009010500,127,127,127.0,100.0,100.0
41,47009010600,127,127,127.0,100.0,100.0
42,47009010700,104,104,104.0,100.0,100.0
43,47009010800,110,110,110.0,100.0,100.0
44,47009010900,137,137,137.0,100.0,100.0
45,47009011001,135,135,135.0,100.0,100.0
46,47009011002,78,78,78.0,100.0,100.0
47,47009011101,95,95,94.0,100.0,98.95
48,47009011102,143,143,143.0,100.0,100.0
49,47009011200,367,367,367.0,100.0,100.0
50,47009011301,140,140,140.0,100.0,100.0
51,47009011302,142,142,138.0,100.0,97.18
52,47009011401,164,164,110.0,100.0,67.07
53,47009011402,237,235,190.0,99.16,80.17
54,47009011501,154,154,128.0,100.0,83.12
55,47009011502,77,77,66.0,100.0,85.71
56,47009011503,176,176,154.0,100.0,87.5
57,47009011602,180,179,177.0,99.44,98.33
58,47009011603,225,225,197.0,100.0,87.56
59,47009011604,131,131,122.0,100.0,93.13
60,47009011605,116,116,87.0,100.0,75.0
61,47009980100,50,50,50.0,100.0,100.0
62,47009980200,70,70,14.0,100.0,20.0
63,47011010100,186,186,186.0,100.0,100.0
64,47011010200,149,149,149.0,100.0,100.0
65,47011010300,83,83,83.0,100.0,100.0
66,47011010400,115,115,114.0,100.0,99.13
67,47011010500,176,176,176.0,100.0,100.0
68,47011010600,139,139,139.0,100.0,100.0
69,47011010700,186,186,186.0,100.0,100.0
70,47011010800,110,110,110.0,100.0,100.0
71,47011010900,105,105,105.0,100.0,100.0
72,47011011000,140,140,140.0,100.0,100.0
73,47011011100,211,211,203.0,100.0,96.21
74,47011011201,235,235,227.0,100.0,96.6
75,47011011202,200,200,200.0,100.0,100.0
76,47011011300,307,307,285.0,100.0,92.83
77,47011011401,193,193,193.0,100.0,100.0
78,47011011402,115,115,115.0,100.0,100.0
79,47011011500,336,336,330.0,100.0,98.21
80,47011011601,79,79,77.0,100.0,97.47
81,47011011602,101,101,88.0,100.0,87.13
82,47013950100,285,285,42.0,100.0,14.74
83,47013950200,154,154,154.0,100.0,100.0
84,47013950300,171,171,40.0,100.0,23.39
85,47013950400,339,338,218.0,99.71,64.31
86,47013950500,181,180,170.0,99.45,93.92
87,47013950600,160,158,150.0,98.75,93.75
88,47013950700,148,147,138.0,99.32,93.24
89,47013950800,97,96,69.0,98.97,71.13
90,47013950900,83,83,64.0,100.0,77.11
91,47013951000,72,72,44.0,100.0,61.11
92,47013951100,150,147,96.0,98.0,64.0
93,47015960100,274,274,270.0,100.0,98.54
94,47015960200,293,293,290.0,100.0,98.98
95,47015960300,151,151,150.0,100.0,99.34
96,47017962000,301,301,241.0,100.0,80.07
97,47017962100,379,378,335.0,99.74,88.39
98,47017962201,174,174,160.0,100.0,91.95
99,47017962202,155,155,153.0,100.0,98.71
100,47017962300,250,248,208.0,99.2,83.2
101,47017962400,93,93,2.0,100.0,2.15
102,47017962500,153,152,51.0,99.35,33.33
103,47017980100,11,11,0.0,100.0,0.0
104,47019070100,109,109,109.0,100.0,100.0
105,47019070200,155,155,155.0,100.0,100.0
106,47019070300,192,192,191.0,100.0,99.48
107,47019070400,58,58,58.0,100.0,100.0
108,47019070500,111,111,107.0,100.0,96.4
109,47019070600,50,50,49.0,100.0,98.0
110,47019070700,64,64,60.0,100.0,93.75
111,47019070800,115,115,109.0,100.0,94.78
112,47019070900,106,106,106.0,100.0,100.0
113,47019071000,112,112,111.0,100.0,99.11
114,47019071100,89,89,89.0,100.0,100.0
115,47019071200,204,204,200.0,100.0,98.04
116,47019071300,232,232,228.0,100.0,98.28
117,47019071400,125,125,112.0,100.0,89.6
118,47019071500,85,85,46.0,100.0,54.12
119,47019071600,128,128,79.0,100.0,61.72
120,47019071700,193,193,185.0,100.0,95.85
121,47021070102,86,86,66.0,100.0,76.74
122,47021070103,69,69,67.0,100.0,97.1
123,47021070104,79,79,65.0,100.0,82.28
124,47021070201,108,108,107.0,100.0,99.07
125,47021070202,150,150,149.0,100.0,99.33
126,47021070203,114,114,114.0,100.0,100.0
127,47021070300,99,99,99.0,100.0,100.0
128,47021070401,66,65,43.0,98.48,65.15
129,47021070402,118,116,94.0,98.31,79.66
130,47023970100,183,182,19.0,99.45,10.38
131,47023970200,164,164,162.0,100.0,98.78
132,47023970300,295,294,175.0,99.66,59.32
133,47025970100,79,79,63.0,100.0,79.75
134,47025970200,131,131,92.0,100.0,70.23
135,47025970300,123,123,76.0,100.0,61.79
136,47025970400,67,67,30.0,100.0,44.78
137,47025970500,137,137,104.0,100.0,75.91
138,47025970600,175,174,119.0,99.43,68.0
139,47025970700,239,238,209.0,99.58,87.45
140,47025970800,103,103,88.0,100.0,85.44
141,47025970900,300,300,300.0,100.0,100.0
142,47027955000,355,354,221.0,99.72,62.25
143,47027955100,155,155,129.0,100.0,83.23
144,47029920100,166,166,85.0,100.0,51.2
145,47029920200,314,314,281.0,100.0,89.49
146,47029920300,157,157,81.0,100.0,51.59
147,47029920400,43,43,11.0,100.0,25.58
148,47029920501,262,262,246.0,100.0,93.89
149,47029920502,203,200,166.0,98.52,81.77
150,47029920600,221,221,220.0,100.0,99.55
151,47029920700,374,374,172.0,100.0,45.99
152,47029980100,10,10,2.0,100.0,20.0
153,47031970100,132,132,103.0,100.0,78.03
154,47031970200,218,218,178.0,100.0,81.65
155,47031970300,60,60,46.0,100.0,76.67
156,47031970400,284,284,284.0,100.0,100.0
157,47031970500,155,155,155.0,100.0,100.0
158,47031970600,245,245,243.0,100.0,99.18
159,47031970700,218,218,218.0,100.0,100.0
160,47031970801,146,146,146.0,100.0,100.0
161,47031970802,389,389,389.0,100.0,100.0
162,47031970900,209,209,209.0,100.0,100.0
163,47031971000,222,222,222.0,100.0,100.0
164,47031980100,39,39,39.0,100.0,100.0
165,47033961000,102,101,65.0,99.02,63.73
166,47033961100,230,230,190.0,100.0,82.61
167,47033961200,194,194,118.0,100.0,60.82
168,47033961300,161,161,99.0,100.0,61.49
169,47033961400,213,212,193.0,99.53,90.61
170,47035970101,133,133,96.0,100.0,72.18
171,47035970102,366,366,222.0,100.0,60.66
172,47035970200,319,319,129.0,100.0,40.44
173,47035970301,193,193,52.0,100.0,26.94
174,47035970302,232,232,102.0,100.0,43.97
175,47035970400,314,314,289.0,100.0,92.04
176,47035970501,137,137,124.0,100.0,90.51
177,47035970502,183,183,181.0,100.0,98.91
178,47035970601,150,150,126.0,100.0,84.0
179,47035970602,235,235,208.0,100.0,88.51
180,47035970603,68,68,45.0,100.0,66.18
181,47035970701,116,116,114.0,100.0,98.28
182,47035970702,285,285,146.0,100.0,51.23
183,47035970800,465,465,129.0,100.0,27.74
184,47037010103,37,37,34.0,100.0,91.89
185,47037010104,40,39,39.0,97.5,97.5
186,47037010105,42,39,39.0,92.86,92.86
187,47037010106,39,39,37.0,100.0,94.87
188,47037010201,58,53,53.0,91.38,91.38
189,47037010202,52,51,50.0,98.08,96.15
190,47037010301,41,41,40.0,100.0,97.56
191,47037010302,49,49,44.0,100.0,89.8
192,47037010303,46,44,35.0,95.65,76.09
193,47037010401,62,57,53.0,91.94,85.48
194,47037010402,64,64,62.0,100.0,96.88
195,47037010501,155,155,153.0,100.0,98.71
196,47037010502,92,92,91.0,100.0,98.91
