,ProviderName,TractCode,CountBlocks,Consumer Blocks Served,Consumer Blocks Served - 3mbps,Consumer Blocks Served - 12mbps,Consumer Blocks Served - 25mbps,Proportion Served,Proportion Served 3mbps,Proportion Served 12mbps,Proportion Served 25mbps,Substantially Served,Substantially Served 3mbps,Substantially Served 12mbps,Substantially Served 25mbps,TechCodes Set,Minimally Residential,Water Area,Consumer Service N/A
0,Jackson Energy Authority,47113001300,223,142,142,142,142,63.68,63.68,63.68,63.68,True,True,True,True,{50},False,False,False
1,"Wisper II, LLC",47113001300,223,1,1,0,0,0.45,0.45,0.0,0.0,False,False,False,False,{70},False,False,False
2,"BellSouth Telecommunications, Inc.",47113001300,223,124,121,44,19,55.61,54.26,19.73,8.52,True,True,False,False,"{10, 11, 50, 70}",False,False,False
3,"Aeneas Communications, LLC",47113001300,223,10,10,10,10,4.48,4.48,4.48,4.48,False,False,False,False,"{50, 30}",False,False,False
4,"Charter Communications, Inc.",47113001300,223,218,218,218,218,97.76,97.76,97.76,97.76,True,True,True,True,{43},False,False,False
5,Jackson Energy Authority,47113001604,78,43,43,43,43,55.13,55.13,55.13,55.13,True,True,True,True,{50},False,False,False
6,"BellSouth Telecommunications, Inc.",47113001604,78,43,42,30,29,55.13,53.85,38.46,37.18,True,True,True,True,"{10, 11, 50}",False,False,False
7,"Aeneas Communications, LLC",47113001604,78,9,7,7,7,11.54,8.97,8.97,8.97,False,False,False,False,"{50, 11, 42}",False,False,False
8,"COMCAST CABLE COMMUNICATIONS, LLC",47113001604,78,2,2,2,2,2.56,2.56,2.56,2.56,False,False,False,False,{43},False,False,False
9,"Charter Communications, Inc.",47113001604,78,77,77,77,77,98.72,98.72,98.72,98.72,True,True,True,True,{43},False,False,False
10,Jackson Energy Authority,47113000400,61,47,47,47,47,77.05,77.05,77.05,77.05,True,True,True,True,{50},False,False,False
11,"BellSouth Telecommunications, Inc.",47113000400,61,51,45,20,2,83.61,73.77,32.79,3.28,True,True,True,False,"{10, 11, 50}",False,False,False
12,"Aeneas Communications, LLC",47113000400,61,10,10,8,8,16.39,16.39,13.11,13.11,False,False,False,False,"{50, 11, 30}",False,False,False
13,"Charter Communications, Inc.",47113000400,61,59,59,59,59,96.72,96.72,96.72,96.72,True,True,True,True,{43},False,False,False
14,Jackson Energy Authority,47113000900,105,70,70,70,70,66.67,66.67,66.67,66.67,True,True,True,True,{50},False,False,False
15,"BellSouth Telecommunications, Inc.",47113000900,105,86,83,76,0,81.9,79.05,72.38,0.0,True,True,True,False,"{10, 11}",False,False,False
16,"Aeneas Communications, LLC",47113000900,105,1,1,0,0,0.95,0.95,0.0,0.0,False,False,False,False,{11},False,False,False
17,"Charter Communications, Inc.",47113000900,105,105,105,105,105,100.0,100.0,100.0,100.0,True,True,True,True,{43},False,False,False
18,Jackson Energy Authority,47113000500,75,48,48,48,48,64.0,64.0,64.0,64.0,True,True,True,True,{50},False,False,False
19,"BellSouth Telecommunications, Inc.",47113000500,75,55,35,11,0,73.33,46.67,14.67,0.0,True,True,False,False,"{10, 11}",False,False,False
20,"Aeneas Communications, LLC",47113000500,75,4,4,4,4,5.33,5.33,5.33,5.33,False,False,False,False,{50},False,False,False
21,"Charter Communications, Inc.",47113000500,75,75,75,75,75,100.0,100.0,100.0,100.0,True,True,True,True,{43},False,False,False
22,Jackson Energy Authority,47113000600,68,64,64,64,64,94.12,94.12,94.12,94.12,True,True,True,True,{50},False,False,False
23,"BellSouth Telecommunications, Inc.",47113000600,68,67,66,4,2,98.53,97.06,5.88,2.94,True,True,False,False,"{10, 11, 50}",False,False,False
24,"Aeneas Communications, LLC",47113000600,68,4,3,2,2,5.88,4.41,2.94,2.94,False,False,False,False,"{50, 11}",False,False,False
25,"Charter Communications, Inc.",47113000600,68,68,68,68,68,100.0,100.0,100.0,100.0,True,True,True,True,{43},False,False,False
26,Jackson Energy Authority,47113001610,116,69,69,69,69,59.48,59.48,59.48,59.48,True,True,True,True,{50},False,False,False
27,"Wisper II, LLC",47113001610,116,2,1,0,0,1.72,0.86,0.0,0.0,False,False,False,False,{70},False,False,False
28,"BellSouth Telecommunications, Inc.",47113001610,116,70,70,43,38,60.34,60.34,37.07,32.76,True,True,True,True,"{10, 11, 50}",False,False,False
29,"Aeneas Communications, LLC",47113001610,116,12,12,12,12,10.34,10.34,10.34,10.34,False,False,False,False,{50},False,False,False
30,"Charter Communications, Inc.",47113001610,116,112,112,112,112,96.55,96.55,96.55,96.55,True,True,True,True,{43},False,False,False
31,Jackson Energy Authority,47113001605,106,27,27,27,27,25.47,25.47,25.47,25.47,False,False,False,False,{50},False,False,False
32,"BellSouth Telecommunications, Inc.",47113001605,106,39,39,15,15,36.79,36.79,14.15,14.15,True,True,False,False,"{10, 11, 50}",False,False,False
33,"Aeneas Communications, LLC",47113001605,106,6,6,6,6,5.66,5.66,5.66,5.66,False,False,False,False,{50},False,False,False
