,Minimally Served by Definition,TractCode
1,False,47093004611
258,False,47037015900
497,False,47143975401
1320,False,47093000100
1663,False,47093000902
1727,False,47093001500
2240,False,47093001600
2474,False,47093001700
2751,False,47093002000
3021,False,47093002800
3255,False,47093002900
3517,False,47093003000
3641,False,47093003700
3892,False,47093003801
4082,False,47093003802
4238,False,47093003901
4406,False,47093003902
4555,False,47093004000
4723,False,47093004100
4970,False,47093004200
5242,False,47093004300
5433,False,47093004401
5682,False,47093004403
5955,False,47093004404
6196,False,47093004500
6397,False,47093004606
6609,False,47093004607
6819,False,47093004608
6934,False,47093004609
7116,False,47093004610
7293,False,47093004612
7354,False,47093004613
7463,False,47093004614
7561,False,47093004615
7680,False,47093004700
7904,False,47093004800
8227,False,47093004900
8452,False,47093005000
8721,False,47093005100
8941,False,47093005701
9137,False,47093005704
9386,False,47093005706
9662,False,47093005707
9808,False,47093005710
9938,False,47093005711
10096,False,47093005712
10339,False,47093005803
10576,False,47093005807
10720,False,47093005903
10784,False,47093005904
11065,False,47093005905
11126,False,47093005907
11199,False,47093005908
11405,False,47093006001
11511,False,47093006600
11917,False,47093006700
12274,False,47093006800
12471,False,47093006900
12750,False,47093007000
13073,False,47093007100
13304,False,47003950100
13750,False,47003950700
14100,False,47015960100
14503,False,47015960200
14941,False,47015960300
15224,False,47031970100
15606,False,47031970200
16050,False,47031970300
16236,False,47031970400
16755,False,47031970500
17180,False,47031970600
17712,False,47031970700
18243,False,47031970900
18735,False,47031971000
19303,True,47031980100
19320,False,47035970200
19897,False,47035970400
21149,False,47037011200
21363,False,47037015100
21630,False,47037017100
21790,False,47037019300
22058,False,47037019500
23378,False,47037019600
23720,False,47041920200
24456,False,47051960100
24679,False,47051960400
25474,False,47051960700
25831,False,47061955000
26351,False,47061955100
26793,False,47061955200
27475,False,47061955300
28596,False,47065012300
29089,False,47087960100
29317,False,47087960300
29873,False,47101970200
31099,False,47129110100
31462,False,47133950200
31669,False,47141000100
32694,False,47141000500
33070,False,47141000600
33777,False,47141000700
34466,False,47141000800
35193,False,47141001200
36094,False,47149040600
36319,False,47149041600
36705,False,47149042100
36964,False,47159975100
37280,False,47169090200
37520,False,47175925000
37938,False,47175925200
38466,False,47177930100
38954,False,47177930200
39938,False,47177930300
40313,False,47177930400
40939,False,47177930500
41727,False,47177930600
42407,False,47177930700
42978,False,47177930800
43973,False,47177930900
44186,False,47185935000
44759,False,47185935100
45346,False,47185935200
45698,False,47185935300
46629,False,47185935400
47265,False,47185935500
47867,False,47189030600
48159,False,47033961000
48327,False,47053966400
48877,False,47053966500
49463,False,47053966600
49633,False,47053966700
50121,False,47053966800
50298,False,47053966900
50787,False,47053967000
51400,False,47053967100
51801,False,47113001502
52252,False,47113001608
52358,False,47009010100
52781,False,47009010200
53342,False,47009010500
53673,False,47009011002
53841,False,47009011101
54068,False,47009011102
54433,False,47009011402
54742,False,47009011501
54813,False,47009011602
55201,False,47009011603
55636,False,47009011604
55863,False,47105060400
56218,False,47105060600
56809,False,47123925000
57233,True,47001980100
57265,False,47009010301
57727,False,47011010200
58196,False,47013950200
58558,False,47025970900
58897,False,47037010401
59087,False,47037010501
59549,False,47037011001
59684,False,47037011600
59866,False,47037011700
