,TractCode,Less_HS_Proportion_2015,HS_Proportion_2015,Some_College_Proportion_2015,Bachelors_Proportion_2015,Less_HS_Proportion_2017,HS_Proportion_2017,Some_College_Proportion_2017,Bachelors_Proportion_2017,Less_HS_Proportion_2019,HS_Proportion_2019,Some_College_Proportion_2019,Bachelors_Proportion_2019
0,47165021002,3.08,28.74,29.64,38.54,2.06,24.39,29.06,44.48,3.35,22.89,22.0,51.76
1,47165020901,16.22,38.68,25.49,19.61,11.85,35.47,28.87,23.8,9.47,39.13,39.13,12.27
2,47165020300,23.16,38.82,30.52,7.5,19.64,43.36,31.8,5.21,17.83,44.36,29.97,7.85
3,47165020902,19.12,32.64,33.07,15.17,20.74,35.67,30.9,12.69,17.46,37.48,32.14,12.92
4,47165020800,21.94,38.75,32.85,6.45,23.89,32.93,37.35,5.83,27.46,32.51,31.26,8.78
5,47165021203,4.97,20.0,32.77,42.26,3.24,15.41,28.57,52.79,3.36,19.95,26.55,50.14
6,47105060302,10.05,30.37,29.4,30.18,8.96,34.24,26.52,30.28,4.52,31.25,31.63,32.6
7,47105060202,29.2,39.42,24.11,7.27,27.92,37.95,23.85,10.28,24.4,35.5,26.13,13.97
8,47105060301,12.11,22.29,29.13,36.47,10.14,19.43,31.72,38.7,7.58,22.14,32.98,37.3
9,47179060400,3.3,21.85,18.15,56.71,3.96,21.48,19.54,55.02,5.92,18.35,24.33,51.4
10,47157001200,25.4,32.99,31.51,10.09,33.74,34.61,21.28,10.37,26.48,33.53,24.57,15.42
11,47157001300,27.74,44.17,23.36,4.72,31.55,41.71,22.65,4.1,37.61,35.12,20.23,7.04
12,47157001400,26.75,51.31,13.48,8.46,35.63,49.0,5.49,9.88,38.2,37.34,19.31,5.15
13,47157001500,23.77,32.22,28.78,15.23,23.75,33.01,26.69,16.55,24.48,32.23,23.25,20.03
14,47157001700,13.57,24.59,28.34,33.5,11.75,27.47,28.6,32.18,6.08,19.19,32.9,41.83
15,47157001900,30.37,40.53,24.75,4.35,22.22,47.37,26.36,4.04,24.15,55.81,16.51,3.53
16,47157002000,28.97,32.43,20.25,18.35,28.4,39.09,17.62,14.88,22.62,37.68,18.76,20.94
17,47157002100,27.6,22.4,24.32,25.68,30.0,19.41,30.94,19.65,27.87,21.66,26.71,23.76
18,47157002400,27.0,36.71,23.57,12.71,23.72,35.97,25.12,15.19,24.19,29.31,25.6,20.9
19,47157002500,16.56,26.72,26.96,29.76,13.09,24.74,30.39,31.78,11.5,26.59,30.35,31.56
20,47179061800,15.14,48.22,18.75,17.89,14.05,40.64,21.99,23.32,13.2,37.56,27.87,21.38
