,state,county,tract,Less_HS_Proportion,HS_Proportion,Some_College_Proportion,Bachelors_Proportion,TractCode
0,47,065,011413,7.09,31.48,37.47,23.96,47065011413
1,47,069,950200,30.45,46.73,16.15,6.66,47069950200
2,47,069,950400,12.52,56.57,16.25,14.66,47069950400
3,47,069,950100,15.44,47.13,24.44,12.99,47069950100
4,47,069,950500,19.89,43.52,22.57,14.02,47069950500
5,47,069,950600,24.99,45.33,24.46,5.22,47069950600
6,47,129,110100,15.14,49.39,28.42,7.06,47129110100
7,47,129,110500,17.91,50.28,26.23,5.58,47129110500
8,47,129,110300,23.89,52.22,17.26,6.63,47129110300
9,47,129,110400,18.5,43.63,30.51,7.36,47129110400
10,47,129,110200,13.33,55.45,19.93,11.3,47129110200
11,47,061,955000,27.25,46.03,18.73,7.99,47061955000
12,47,061,955300,23.92,34.08,26.12,15.88,47061955300
13,47,061,955100,15.82,49.96,16.68,17.54,47061955100
14,47,061,955200,26.44,46.14,19.32,8.1,47061955200
15,47,079,969000,10.61,41.35,25.06,22.99,47079969000
16,47,079,969100,13.91,52.87,21.53,11.69,47079969100
17,47,079,969300,16.88,50.46,22.31,10.35,47079969300
18,47,079,969500,16.04,48.26,23.84,11.85,47079969500
19,47,079,969600,11.22,44.37,20.13,24.28,47079969600
20,47,079,969700,23.91,43.2,21.49,11.41,47079969700
21,47,079,969200,8.68,57.85,18.31,15.15,47079969200
22,47,079,969800,13.75,53.88,18.94,13.44,47079969800
23,47,079,969400,17.51,43.97,20.24,18.27,47079969400
24,47,029,980100,0.0,0.0,0.0,0.0,47029980100
25,47,105,060400,11.12,37.65,29.76,21.47,47105060400
26,47,033,961000,17.28,44.69,26.34,11.69,47033961000
27,47,033,961300,17.63,46.13,26.36,9.88,47033961300
28,47,069,950300,18.92,44.21,22.23,14.64,47069950300
29,47,105,060700,15.41,40.63,31.62,12.34,47105060700
30,47,105,060100,17.1,43.67,21.63,17.6,47105060100
31,47,105,060600,24.02,36.8,25.9,13.28,47105060600
32,47,139,950300,16.52,42.32,31.81,9.35,47139950300
33,47,139,950400,24.07,36.77,27.69,11.48,47139950400
34,47,157,000800,25.86,45.42,20.32,8.4,47157000800
35,47,157,001300,29.14,41.09,24.72,5.05,47157001300
36,47,157,001400,32.15,48.38,9.05,10.42,47157001400
37,47,157,001500,23.58,32.62,25.62,18.17,47157001500
38,47,157,001700,6.76,19.79,34.21,39.24,47157001700
39,47,157,002100,23.26,24.65,30.23,21.86,47157002100
40,47,157,003100,1.12,14.8,25.06,59.02,47157003100
41,47,157,003900,13.63,33.68,27.59,25.1,47157003900
42,47,157,004200,0.77,8.96,13.98,76.29,47157004200
43,47,157,004600,29.42,24.73,33.26,12.58,47157004600
44,47,157,005300,25.06,38.3,25.89,10.75,47157005300
45,47,157,006300,4.31,28.08,22.87,44.74,47157006300
46,47,157,006500,17.11,34.67,30.07,18.15,47157006500
47,47,157,007100,0.0,15.6,18.65,65.75,47157007100
48,47,157,000100,1.95,7.43,11.08,79.54,47157000100
49,47,157,009700,15.45,42.59,22.92,19.04,47157009700
50,47,157,007822,16.28,53.03,22.76,7.93,47157007822
51,47,157,008000,15.17,28.27,39.37,17.2,47157008000
52,47,157,010210,21.02,36.59,31.33,11.06,47157010210
53,47,147,080200,11.12,42.58,29.12,17.18,47147080200
54,47,147,080401,21.48,44.92,24.31,9.29,47147080401
55,47,147,080500,6.62,38.9,27.87,26.61,47147080500
56,47,147,080402,21.27,37.29,28.56,12.88,47147080402
57,47,147,080101,10.33,41.08,31.81,16.77,47147080101
58,47,147,080700,11.5,34.29,32.92,21.28,47147080700
59,47,051,960100,21.72,49.41,18.15,10.72,47051960100
60,47,051,960800,21.48,44.13,20.26,14.13,47051960800
61,47,051,960400,11.92,34.59,29.67,23.82,47051960400
62,47,051,960600,17.58,39.63,27.81,14.99,47051960600
63,47,051,960500,17.92,37.54,25.83,18.71,47051960500
64,47,051,960700,8.58,24.48,11.19,55.75,47051960700
65,47,051,960300,9.05,44.76,26.71,19.47,47051960300
66,47,009,010400,10.52,37.45,32.2,19.83,47009010400
67,47,009,011102,4.64,26.28,27.29,41.79,47009011102
68,47,009,010500,12.4,29.13,39.59,18.88,47009010500
69,47,009,010200,10.07,36.76,26.4,26.77,47009010200
70,47,009,011602,11.16,39.11,29.88,19.85,47009011602
71,47,009,010100,19.36,37.26,36.2,7.18,47009010100
72,47,009,010600,9.35,30.0,26.6,34.05,47009010600
