,NAME_first,Population_first,TractCode,NAME_last,Population_last,Pct Pop Change
0,"Census Tract 201, Anderson County, Tennessee",2952,47001020100,"Census Tract 201, Anderson County, Tennessee",3196,8.0
1,"Census Tract 202.01, Anderson County, Tennessee",4148,47001020201,"Census Tract 202.01, Anderson County, Tennessee",4080,-2.0
2,"Census Tract 202.02, Anderson County, Tennessee",4149,47001020202,"Census Tract 202.02, Anderson County, Tennessee",3973,-4.0
3,"Census Tract 203, Anderson County, Tennessee",3833,47001020300,"Census Tract 203, Anderson County, Tennessee",3851,0.0
4,"Census Tract 204, Anderson County, Tennessee",4289,47001020400,"Census Tract 204, Anderson County, Tennessee",4275,-0.0
5,"Census Tract 205, Anderson County, Tennessee",4066,47001020500,"Census Tract 205, Anderson County, Tennessee",3655,-10.0
6,"Census Tract 206, Anderson County, Tennessee",2694,47001020600,"Census Tract 206, Anderson County, Tennessee",2540,-6.0
7,"Census Tract 207, Anderson County, Tennessee",1555,47001020700,"Census Tract 207, Anderson County, Tennessee",1575,1.0
8,"Census Tract 208, Anderson County, Tennessee",4587,47001020800,"Census Tract 208, Anderson County, Tennessee",4909,7.000000000000001
9,"Census Tract 209.01, Anderson County, Tennessee",6439,47001020901,"Census Tract 209.01, Anderson County, Tennessee",5473,-15.0
10,"Census Tract 209.02, Anderson County, Tennessee",5829,47001020902,"Census Tract 209.02, Anderson County, Tennessee",6568,13.0
11,"Census Tract 210, Anderson County, Tennessee",6204,47001021000,"Census Tract 210, Anderson County, Tennessee",6239,1.0
12,"Census Tract 211, Anderson County, Tennessee",3795,47001021100,"Census Tract 211, Anderson County, Tennessee",4118,9.0
13,"Census Tract 212.01, Anderson County, Tennessee",4990,47001021201,"Census Tract 212.01, Anderson County, Tennessee",5231,5.0
14,"Census Tract 212.02, Anderson County, Tennessee",5139,47001021202,"Census Tract 212.02, Anderson County, Tennessee",5297,3.0
15,"Census Tract 213.01, Anderson County, Tennessee",3219,47001021301,"Census Tract 213.01, Anderson County, Tennessee",3662,14.000000000000002
16,"Census Tract 213.02, Anderson County, Tennessee",7542,47001021302,"Census Tract 213.02, Anderson County, Tennessee",7419,-2.0
17,"Census Tract 9801, Anderson County, Tennessee",0,47001980100,"Census Tract 9801, Anderson County, Tennessee",0,
18,"Census Tract 9501, Bedford County, Tennessee",3617,47003950100,"Census Tract 9501, Bedford County, Tennessee",4317,19.0
19,"Census Tract 9502, Bedford County, Tennessee",7005,47003950200,"Census Tract 9502, Bedford County, Tennessee",7500,7.000000000000001
20,"Census Tract 9503, Bedford County, Tennessee",3847,47003950300,"Census Tract 9503, Bedford County, Tennessee",3357,-13.0
21,"Census Tract 9504.01, Bedford County, Tennessee",5778,47003950401,"Census Tract 9504.01, Bedford County, Tennessee",5828,1.0
22,"Census Tract 9504.02, Bedford County, Tennessee",6734,47003950402,"Census Tract 9504.02, Bedford County, Tennessee",7082,5.0
23,"Census Tract 9505, Bedford County, Tennessee",5470,47003950500,"Census Tract 9505, Bedford County, Tennessee",6769,24.0
24,"Census Tract 9506, Bedford County, Tennessee",8025,47003950600,"Census Tract 9506, Bedford County, Tennessee",7167,-11.0
25,"Census Tract 9507, Bedford County, Tennessee",2787,47003950700,"Census Tract 9507, Bedford County, Tennessee",3060,10.0
26,"Census Tract 9508, Bedford County, Tennessee",2723,47003950800,"Census Tract 9508, Bedford County, Tennessee",3212,18.0
27,"Census Tract 9630, Benton County, Tennessee",3081,47005963000,"Census Tract 9630, Benton County, Tennessee",3442,12.0
28,"Census Tract 9631, Benton County, Tennessee",3094,47005963100,"Census Tract 9631, Benton County, Tennessee",2922,-6.0
29,"Census Tract 9632, Benton County, Tennessee",2495,47005963200,"Census Tract 9632, Benton County, Tennessee",2183,-13.0
30,"Census Tract 9633, Benton County, Tennessee",3754,47005963300,"Census Tract 9633, Benton County, Tennessee",3715,-1.0
31,"Census Tract 9634, Benton County, Tennessee",3837,47005963400,"Census Tract 9634, Benton County, Tennessee",3878,1.0
32,"Census Tract 9530, Bledsoe County, Tennessee",3661,47007953000,"Census Tract 9530, Bledsoe County, Tennessee",3768,3.0
33,"Census Tract 9531, Bledsoe County, Tennessee",5748,47007953100,"Census Tract 9531, Bledsoe County, Tennessee",6325,10.0
34,"Census Tract 9532, Bledsoe County, Tennessee",4277,47007953200,"Census Tract 9532, Bledsoe County, Tennessee",4743,11.0
35,"Census Tract 101, Blount County, Tennessee",3104,47009010100,"Census Tract 101, Blount County, Tennessee",2898,-7.000000000000001
36,"Census Tract 102, Blount County, Tennessee",5950,47009010200,"Census Tract 102, Blount County, Tennessee",6327,6.0
37,"Census Tract 103.01, Blount County, Tennessee",5409,47009010301,"Census Tract 103.01, Blount County, Tennessee",5837,8.0
38,"Census Tract 103.02, Blount County, Tennessee",2961,47009010302,"Census Tract 103.02, Blount County, Tennessee",3530,19.0
39,"Census Tract 104, Blount County, Tennessee",2815,47009010400,"Census Tract 104, Blount County, Tennessee",3354,19.0
40,"Census Tract 105, Blount County, Tennessee",2442,47009010500,"Census Tract 105, Blount County, Tennessee",2786,14.000000000000002
41,"Census Tract 106, Blount County, Tennessee",4214,47009010600,"Census Tract 106, Blount County, Tennessee",4425,5.0
