,TractCode,Substantially Served,Substantially Served 25mbps
0,47001020100,3,2
1,47001020201,3,1
2,47001020202,3,2
3,47001020300,3,2
4,47001020400,3,2
5,47001020500,3,2
6,47001020600,3,2
7,47001020700,2,1
8,47001020800,3,1
9,47001020901,3,1
10,47001020902,3,2
11,47001021000,3,2
12,47001021100,3,2
13,47001021201,2,1
14,47001021202,2,2
15,47001021301,3,2
16,47001021302,3,2
17,47001980100,1,0
18,47003950100,2,2
19,47003950200,2,2
20,47003950300,4,2
21,47003950401,3,3
22,47003950402,3,3
23,47003950500,3,3
24,47003950600,3,3
25,47003950700,2,1
26,47003950800,2,1
27,47005963000,2,2
28,47005963100,2,1
29,47005963200,1,0
30,47005963300,2,2
31,47005963400,2,1
32,47007953000,1,1
33,47007953100,1,1
34,47007953200,1,0
35,47009010100,3,3
36,47009010200,2,2
37,47009010301,2,2
38,47009010302,3,2
39,47009010400,4,3
40,47009010500,3,2
41,47009010600,4,3
42,47009010700,3,2
43,47009010800,3,3
44,47009010900,3,3
45,47009011001,3,2
46,47009011002,3,2
47,47009011101,3,2
48,47009011102,3,2
49,47009011200,2,2
50,47009011301,4,3
51,47009011302,4,3
52,47009011401,3,1
53,47009011402,3,2
54,47009011501,1,1
55,47009011502,2,2
56,47009011503,2,2
57,47009011602,3,3
58,47009011603,4,2
59,47009011604,4,3
60,47009011605,4,2
61,47009980100,1,1
62,47009980200,1,0
63,47011010100,2,2
64,47011010200,2,2
65,47011010300,2,2
66,47011010400,2,2
67,47011010500,2,2
68,47011010600,2,2
69,47011010700,2,2
70,47011010800,2,2
71,47011010900,2,2
72,47011011000,2,2
73,47011011100,2,2
74,47011011201,2,2
75,47011011202,2,2
76,47011011300,2,2
77,47011011401,2,2
78,47011011402,2,2
79,47011011500,2,2
80,47011011601,2,2
81,47011011602,2,2
82,47013950100,2,0
83,47013950200,3,1
84,47013950300,1,0
85,47013950400,3,1
86,47013950500,2,2
87,47013950600,2,2
88,47013950700,2,2
89,47013950800,2,2
90,47013950900,2,2
91,47013951000,3,2
92,47013951100,3,2
93,47015960100,1,1
94,47015960200,1,1
95,47015960300,1,1
96,47017962000,3,2
97,47017962100,2,1
98,47017962201,2,1
99,47017962202,2,1
100,47017962300,3,2
101,47017962400,1,0
102,47017962500,2,1
103,47017980100,1,0
104,47019070100,2,2
105,47019070200,2,1
106,47019070300,2,2
107,47019070400,2,1
108,47019070500,3,2
109,47019070600,3,3
110,47019070700,3,2
111,47019070800,2,2
112,47019070900,2,1
113,47019071000,2,2
114,47019071100,2,2
115,47019071200,2,1
116,47019071300,2,2
117,47019071400,2,1
118,47019071500,1,1
119,47019071600,2,2
120,47019071700,2,1
121,47021070102,2,2
