,LATITUDE,LONGITUDE,TractCode,geometry,GEOID10,NAME10,UATYP10,ALAND10
7,36.187349,-84.212278,47001020700,POINT (-84.212278 36.187349),,Rural Area,R,
8,36.20939,-84.141887,47001020800,POINT (-84.141887 36.20939),,Rural Area,R,
9,36.202791999999995,-84.030302,47001020901,POINT (-84.03030200000001 36.202792),,Rural Area,R,
11,36.052115,-84.293492,47001021000,POINT (-84.293492 36.052115),,Rural Area,R,
12,36.076311,-84.182827,47001021100,POINT (-84.182827 36.076311),,Rural Area,R,
13,36.123881,-84.15175,47001021201,POINT (-84.15175000000001 36.123881),,Rural Area,R,
15,36.06935,-84.1447,47001021301,POINT (-84.1447 36.06935),,Rural Area,R,
16,36.032394000000004,-84.120264,47001021302,POINT (-84.12026400000001 36.032394),,Rural Area,R,
17,35.964838,-84.255009,47001980100,POINT (-84.255009 35.964838),,Rural Area,R,
18,35.599796999999995,-86.390339,47003950100,POINT (-86.390339 35.599797),,Rural Area,R,
19,35.612621999999995,-86.564413,47003950200,POINT (-86.564413 35.61262199999999),,Rural Area,R,
20,35.466245,-86.58646,47003950300,POINT (-86.58646 35.466245),,Rural Area,R,
22,35.50821,-86.481369,47003950402,POINT (-86.481369 35.50821),,Rural Area,R,
25,35.523324,-86.33249599999999,47003950700,POINT (-86.33249599999999 35.523324),,Rural Area,R,
26,35.409203999999995,-86.37123100000001,47003950800,POINT (-86.37123100000001 35.409204),,Rural Area,R,
27,36.223945,-88.059584,47005963000,POINT (-88.059584 36.223945),,Rural Area,R,
28,36.092862,-88.06911,47005963100,POINT (-88.06910999999999 36.092862),,Rural Area,R,
29,35.897946000000005,-88.081018,47005963200,POINT (-88.081018 35.897946),,Rural Area,R,
31,36.023699,-88.123808,47005963400,POINT (-88.123808 36.023699),,Rural Area,R,
32,35.561792,-85.119781,47007953000,POINT (-85.119781 35.561792),,Rural Area,R,
33,35.592467,-85.204392,47007953100,POINT (-85.204392 35.592467),,Rural Area,R,
34,35.673907,-85.243783,47007953200,POINT (-85.24378299999999 35.673907),,Rural Area,R,
39,35.828471,-83.93425699999999,47009010400,POINT (-83.93425699999999 35.828471),,Rural Area,R,
44,35.786846000000004,-83.930817,47009010900,POINT (-83.930817 35.786846),,Rural Area,R,
45,35.758297,-83.921937,47009011001,POINT (-83.921937 35.758297),,Rural Area,R,
46,35.749168,-83.88199,47009011002,POINT (-83.88199 35.749168),,Rural Area,R,
50,35.840841,-83.823901,47009011301,POINT (-83.82390100000001 35.840841),,Rural Area,R,
51,35.799602,-83.81326999999999,47009011302,POINT (-83.81326999999999 35.799602),,Rural Area,R,
52,35.704665999999996,-83.761228,47009011401,POINT (-83.761228 35.704666),,Rural Area,R,
53,35.688735,-83.854562,47009011402,POINT (-83.854562 35.688735),,Rural Area,R,
54,35.615664,-84.01002,47009011501,POINT (-84.01002 35.615664),,Rural Area,R,
55,35.63335,-84.106758,47009011502,POINT (-84.106758 35.63335),,Rural Area,R,
56,35.673491,-84.015762,47009011503,POINT (-84.015762 35.673491),,Rural Area,R,
58,35.744942,-84.104187,47009011603,POINT (-84.104187 35.744942),,Rural Area,R,
