,TractCode,NAME_2015,Workers - Commute Method_2015,Work From Home_2015,Proportion Work From Home_2015,Workers - Commute Length_2015,Median Commute Length_2015,NAME_2017,Workers - Commute Method_2017,Work From Home_2017,Proportion Work From Home_2017,Workers - Commute Length_2017,Median Commute Length_2017,NAME_2019,Workers - Commute Method_2019,Work From Home_2019,Proportion Work From Home_2019,Workers - Commute Length_2019,Median Commute Length_2019
0,47165021002,"Census Tract 210.02, Sumner County, Tennessee",3482,210,6.03,3272,32.88,"Census Tract 210.02, Sumner County, Tennessee",3834,272,7.09,3562,29.7,"Census Tract 210.02, Sumner County, Tennessee",3679,288,7.83,3391,33.34
1,47165020901,"Census Tract 209.01, Sumner County, Tennessee",826,68,8.23,758,34.79,"Census Tract 209.01, Sumner County, Tennessee",731,104,14.23,627,37.7,"Census Tract 209.01, Sumner County, Tennessee",561,60,10.7,501,47.01
2,47165020300,"Census Tract 203, Sumner County, Tennessee",2098,220,10.49,1878,32.18,"Census Tract 203, Sumner County, Tennessee",2078,68,3.27,2010,29.81,"Census Tract 203, Sumner County, Tennessee",2485,136,5.47,2349,27.53
3,47165020902,"Census Tract 209.02, Sumner County, Tennessee",3240,35,1.08,3205,30.02,"Census Tract 209.02, Sumner County, Tennessee",3258,119,3.65,3139,28.88,"Census Tract 209.02, Sumner County, Tennessee",3487,77,2.21,3410,33.09
4,47165020800,"Census Tract 208, Sumner County, Tennessee",2660,42,1.58,2618,27.86,"Census Tract 208, Sumner County, Tennessee",2877,108,3.75,2769,26.3,"Census Tract 208, Sumner County, Tennessee",3042,135,4.44,2907,26.61
5,47165021203,"Census Tract 212.03, Sumner County, Tennessee",2924,254,8.69,2670,38.19,"Census Tract 212.03, Sumner County, Tennessee",3532,300,8.49,3232,37.17,"Census Tract 212.03, Sumner County, Tennessee",3933,309,7.86,3624,38.53
6,47105060302,"Census Tract 603.02, Loudon County, Tennessee",2949,125,4.24,2824,29.25,"Census Tract 603.02, Loudon County, Tennessee",3217,266,8.27,2951,27.13,"Census Tract 603.02, Loudon County, Tennessee",3293,328,9.96,2965,26.45
7,47105060202,"Census Tract 602.02, Loudon County, Tennessee",2918,43,1.47,2875,29.36,"Census Tract 602.02, Loudon County, Tennessee",3087,46,1.49,3041,24.59,"Census Tract 602.02, Loudon County, Tennessee",3181,39,1.23,3142,24.72
8,47105060301,"Census Tract 603.01, Loudon County, Tennessee",1495,39,2.61,1456,24.43,"Census Tract 603.01, Loudon County, Tennessee",1901,80,4.21,1821,26.05,"Census Tract 603.01, Loudon County, Tennessee",2251,160,7.11,2091,23.49
9,47179060400,"Census Tract 604, Washington County, Tennessee",2921,85,2.91,2836,18.79,"Census Tract 604, Washington County, Tennessee",2900,113,3.9,2787,22.78,"Census Tract 604, Washington County, Tennessee",2885,67,2.32,2818,21.75
10,47157001200,"Census Tract 12, Shelby County, Tennessee",1603,29,1.81,1574,26.97,"Census Tract 12, Shelby County, Tennessee",1850,26,1.41,1824,22.1,"Census Tract 12, Shelby County, Tennessee",2037,28,1.37,2009,22.07
11,47157001300,"Census Tract 13, Shelby County, Tennessee",1072,0,0.0,1072,27.64,"Census Tract 13, Shelby County, Tennessee",1138,52,4.57,1086,27.23,"Census Tract 13, Shelby County, Tennessee",973,58,5.96,915,29.46
12,47157001400,"Census Tract 14, Shelby County, Tennessee",624,0,0.0,624,31.35,"Census Tract 14, Shelby County, Tennessee",746,5,0.67,741,31.3,"Census Tract 14, Shelby County, Tennessee",718,6,0.84,712,32.09
13,47157001500,"Census Tract 15, Shelby County, Tennessee",469,32,6.82,437,31.37,"Census Tract 15, Shelby County, Tennessee",532,30,5.64,502,28.09,"Census Tract 15, Shelby County, Tennessee",660,5,0.76,655,23.85
14,47157001700,"Census Tract 17, Shelby County, Tennessee",2199,39,1.77,2160,23.38,"Census Tract 17, Shelby County, Tennessee",2207,56,2.54,2151,24.05,"Census Tract 17, Shelby County, Tennessee",2258,60,2.66,2198,22.13
15,47157001900,"Census Tract 19, Shelby County, Tennessee",416,0,0.0,416,29.74,"Census Tract 19, Shelby County, Tennessee",446,0,0.0,446,32.23,"Census Tract 19, Shelby County, Tennessee",534,0,0.0,534,22.01
16,47157002000,"Census Tract 20, Shelby County, Tennessee",544,34,6.25,510,22.08,"Census Tract 20, Shelby County, Tennessee",551,57,10.34,494,21.22,"Census Tract 20, Shelby County, Tennessee",587,40,6.81,547,24.87
17,47157002100,"Census Tract 21, Shelby County, Tennessee",534,5,0.94,529,25.96,"Census Tract 21, Shelby County, Tennessee",475,16,3.37,459,27.33,"Census Tract 21, Shelby County, Tennessee",527,51,9.68,476,30.66
18,47157002400,"Census Tract 24, Shelby County, Tennessee",955,0,0.0,955,21.29,"Census Tract 24, Shelby County, Tennessee",865,0,0.0,865,23.8,"Census Tract 24, Shelby County, Tennessee",830,0,0.0,830,23.84
19,47157002500,"Census Tract 25, Shelby County, Tennessee",1442,83,5.76,1359,28.05,"Census Tract 25, Shelby County, Tennessee",1528,54,3.53,1474,21.2,"Census Tract 25, Shelby County, Tennessee",1554,95,6.11,1459,22.08
20,47179061800,"Census Tract 618, Washington County, Tennessee",2595,33,1.27,2562,31.64,"Census Tract 618, Washington County, Tennessee",2867,41,1.43,2826,33.12,"Census Tract 618, Washington County, Tennessee",2969,76,2.56,2893,32.0
21,47179061300,"Census Tract 613, Washington County, Tennessee",3909,118,3.02,3791,23.76,"Census Tract 613, Washington County, Tennessee",4070,76,1.87,3994,21.32,"Census Tract 613, Washington County, Tennessee",4067,84,2.07,3983,22.14
22,47179061100,"Census Tract 611, Washington County, Tennessee",1850,116,6.27,1734,22.11,"Census Tract 611, Washington County, Tennessee",1917,56,2.92,1861,22.04,"Census Tract 611, Washington County, Tennessee",1868,137,7.33,1731,20.65
23,47179060600,"Census Tract 606, Washington County, Tennessee",3497,130,3.72,3367,23.54,"Census Tract 606, Washington County, Tennessee",3433,168,4.89,3265,22.32,"Census Tract 606, Washington County, Tennessee",3297,150,4.55,3147,23.61
24,47179061200,"Census Tract 612, Washington County, Tennessee",1469,38,2.59,1431,21.93,"Census Tract 612, Washington County, Tennessee",1739,28,1.61,1711,21.64,"Census Tract 612, Washington County, Tennessee",1837,54,2.94,1783,20.44
25,47179060900,"Census Tract 609, Washington County, Tennessee",2178,4,0.18,2174,18.69,"Census Tract 609, Washington County, Tennessee",2104,2,0.1,2102,19.13,"Census Tract 609, Washington County, Tennessee",2160,108,5.0,2052,20.43
26,47179061500,"Census Tract 615, Washington County, Tennessee",3489,129,3.7,3360,25.97,"Census Tract 615, Washington County, Tennessee",3590,126,3.51,3464,24.7,"Census Tract 615, Washington County, Tennessee",3397,159,4.68,3238,26.15
27,47037010106,"Census Tract 101.06, Davidson County, Tennessee",1406,19,1.35,1387,24.21,"Census Tract 101.06, Davidson County, Tennessee",1634,19,1.16,1615,25.67,"Census Tract 101.06, Davidson County, Tennessee",1669,52,3.12,1617,30.85
28,47179060100,"Census Tract 601, Washington County, Tennessee",1582,74,4.68,1508,16.75,"Census Tract 601, Washington County, Tennessee",1380,49,3.55,1331,17.73,"Census Tract 601, Washington County, Tennessee",1405,57,4.06,1348,21.43
29,47157002600,"Census Tract 26, Shelby County, Tennessee",1541,130,8.44,1411,23.13,"Census Tract 26, Shelby County, Tennessee",1569,88,5.61,1481,20.22,"Census Tract 26, Shelby County, Tennessee",1617,49,3.03,1568,18.01
30,47157002700,"Census Tract 27, Shelby County, Tennessee",936,36,3.85,900,22.06,"Census Tract 27, Shelby County, Tennessee",1022,41,4.01,981,24.48,"Census Tract 27, Shelby County, Tennessee",1147,54,4.71,1093,24.75
31,47157002800,"Census Tract 28, Shelby County, Tennessee",1134,0,0.0,1134,29.46,"Census Tract 28, Shelby County, Tennessee",1046,0,0.0,1046,27.62,"Census Tract 28, Shelby County, Tennessee",908,7,0.77,901,25.05
32,47157002900,"Census Tract 29, Shelby County, Tennessee",2598,121,4.66,2477,22.59,"Census Tract 29, Shelby County, Tennessee",2650,130,4.91,2520,23.39,"Census Tract 29, Shelby County, Tennessee",2606,191,7.33,2415,22.79
33,47105060201,"Census Tract 602.01, Loudon County, Tennessee",1709,35,2.05,1674,37.92,"Census Tract 602.01, Loudon County, Tennessee",1795,70,3.9,1725,32.12,"Census Tract 602.01, Loudon County, Tennessee",1860,128,6.88,1732,30.53
34,47105060501,"Census Tract 605.01, Loudon County, Tennessee",2148,232,10.8,1916,37.97,"Census Tract 605.01, Loudon County, Tennessee",1582,127,8.03,1455,35.35,"Census Tract 605.01, Loudon County, Tennessee",1441,134,9.3,1307,31.61
35,47105060502,"Census Tract 605.02, Loudon County, Tennessee",871,12,1.38,859,24.78,"Census Tract 605.02, Loudon County, Tennessee",859,19,2.21,840,28.78,"Census Tract 605.02, Loudon County, Tennessee",940,23,2.45,917,32.57
36,47037010103,"Census Tract 101.03, Davidson County, Tennessee",1210,50,4.13,1160,37.2,"Census Tract 101.03, Davidson County, Tennessee",1176,33,2.81,1143,39.04,"Census Tract 101.03, Davidson County, Tennessee",1169,42,3.59,1127,37.84
37,47037010202,"Census Tract 102.02, Davidson County, Tennessee",1787,160,8.95,1627,36.26,"Census Tract 102.02, Davidson County, Tennessee",1788,202,11.3,1586,36.73,"Census Tract 102.02, Davidson County, Tennessee",1948,234,12.01,1714,35.03
38,47037010104,"Census Tract 101.04, Davidson County, Tennessee",1502,88,5.86,1414,32.59,"Census Tract 101.04, Davidson County, Tennessee",1362,92,6.75,1270,34.75,"Census Tract 101.04, Davidson County, Tennessee",1527,107,7.01,1420,33.01
39,47121960200,"Census Tract 9602, Meigs County, Tennessee",1410,29,2.06,1381,32.41,"Census Tract 9602, Meigs County, Tennessee",1782,17,0.95,1765,36.1,"Census Tract 9602, Meigs County, Tennessee",1747,55,3.15,1692,35.7
40,47035970200,"Census Tract 9702, Cumberland County, Tennessee",2583,139,5.38,2444,27.07,"Census Tract 9702, Cumberland County, Tennessee",2907,129,4.44,2778,30.24,"Census Tract 9702, Cumberland County, Tennessee",2997,137,4.57,2860,32.27
41,47035970800,"Census Tract 9708, Cumberland County, Tennessee",1539,26,1.69,1513,33.5,"Census Tract 9708, Cumberland County, Tennessee",1443,19,1.32,1424,33.64,"Census Tract 9708, Cumberland County, Tennessee",1344,22,1.64,1322,33.33
42,47035970400,"Census Tract 9704, Cumberland County, Tennessee",1956,16,0.82,1940,21.32,"Census Tract 9704, Cumberland County, Tennessee",2095,33,1.58,2062,19.11,"Census Tract 9704, Cumberland County, Tennessee",2275,128,5.63,2147,18.49
43,47055920300,"Census Tract 9203, Giles County, Tennessee",2346,45,1.92,2301,27.72,"Census Tract 9203, Giles County, Tennessee",2671,71,2.66,2600,30.42,"Census Tract 9203, Giles County, Tennessee",2601,129,4.96,2472,32.32
44,47121960100,"Census Tract 9601, Meigs County, Tennessee",815,11,1.35,804,35.64,"Census Tract 9601, Meigs County, Tennessee",901,8,0.89,893,35.38,"Census Tract 9601, Meigs County, Tennessee",997,12,1.2,985,42.22
45,47121960300,"Census Tract 9603, Meigs County, Tennessee",1558,29,1.86,1529,42.2,"Census Tract 9603, Meigs County, Tennessee",1509,36,2.39,1473,41.44,"Census Tract 9603, Meigs County, Tennessee",1661,44,2.65,1617,36.61
46,47157003000,"Census Tract 30, Shelby County, Tennessee",1394,47,3.37,1347,20.59,"Census Tract 30, Shelby County, Tennessee",1288,47,3.65,1241,23.08,"Census Tract 30, Shelby County, Tennessee",1182,12,1.02,1170,23.03
47,47135930100,"Census Tract 9301, Perry County, Tennessee",1050,81,7.71,969,36.96,"Census Tract 9301, Perry County, Tennessee",1001,65,6.49,936,39.32,"Census Tract 9301, Perry County, Tennessee",1055,74,7.01,981,32.71
48,47113000900,"Census Tract 9, Madison County, Tennessee",586,3,0.51,583,18.13,"Census Tract 9, Madison County, Tennessee",669,0,0.0,669,26.41,"Census Tract 9, Madison County, Tennessee",707,67,9.48,640,22.02
49,47065001100,"Census Tract 11, Hamilton County, Tennessee",957,31,3.24,926,19.84,"Census Tract 11, Hamilton County, Tennessee",814,41,5.04,773,19.66,"Census Tract 11, Hamilton County, Tennessee",824,51,6.19,773,25.84
50,47155080300,"Census Tract 803, Sevier County, Tennessee",2647,161,6.08,2486,31.73,"Census Tract 803, Sevier County, Tennessee",2622,140,5.34,2482,29.94,"Census Tract 803, Sevier County, Tennessee",2827,89,3.15,2738,33.99
51,47155080500,"Census Tract 805, Sevier County, Tennessee",2118,85,4.01,2033,25.13,"Census Tract 805, Sevier County, Tennessee",2541,120,4.72,2421,24.64,"Census Tract 805, Sevier County, Tennessee",2645,139,5.26,2506,26.8
52,47155080400,"Census Tract 804, Sevier County, Tennessee",3649,77,2.11,3572,32.92,"Census Tract 804, Sevier County, Tennessee",3506,63,1.8,3443,31.04,"Census Tract 804, Sevier County, Tennessee",3425,120,3.5,3305,33.07
53,47155081000,"Census Tract 810, Sevier County, Tennessee",2921,210,7.19,2711,24.93,"Census Tract 810, Sevier County, Tennessee",3204,232,7.24,2972,21.47,"Census Tract 810, Sevier County, Tennessee",3146,99,3.15,3047,22.28
54,47055920400,"Census Tract 9204, Giles County, Tennessee",1059,5,0.47,1054,25.76,"Census Tract 9204, Giles County, Tennessee",1224,14,1.14,1210,27.54,"Census Tract 9204, Giles County, Tennessee",1286,20,1.56,1266,30.8
55,47055920500,"Census Tract 9205, Giles County, Tennessee",1930,47,2.44,1883,29.39,"Census Tract 9205, Giles County, Tennessee",1855,44,2.37,1811,25.85,"Census Tract 9205, Giles County, Tennessee",1931,52,2.69,1879,28.73
56,47055920600,"Census Tract 9206, Giles County, Tennessee",1115,20,1.79,1095,37.6,"Census Tract 9206, Giles County, Tennessee",1160,12,1.03,1148,32.22,"Census Tract 9206, Giles County, Tennessee",1257,18,1.43,1239,34.33
57,47055920200,"Census Tract 9202, Giles County, Tennessee",1771,73,4.12,1698,27.15,"Census Tract 9202, Giles County, Tennessee",1746,74,4.24,1672,28.15,"Census Tract 9202, Giles County, Tennessee",1973,99,5.02,1874,29.18
58,47055920800,"Census Tract 9208, Giles County, Tennessee",1147,13,1.13,1134,34.06,"Census Tract 9208, Giles County, Tennessee",1135,10,0.88,1125,37.46,"Census Tract 9208, Giles County, Tennessee",1254,13,1.04,1241,36.53
59,47055920700,"Census Tract 9207, Giles County, Tennessee",723,6,0.83,717,35.91,"Census Tract 9207, Giles County, Tennessee",742,28,3.77,714,42.77,"Census Tract 9207, Giles County, Tennessee",629,23,3.66,606,41.32
60,47055920100,"Census Tract 9201, Giles County, Tennessee",1405,39,2.78,1366,40.23,"Census Tract 9201, Giles County, Tennessee",1462,69,4.72,1393,39.94,"Census Tract 9201, Giles County, Tennessee",1475,77,5.22,1398,41.52
61,47029920400,"Census Tract 9204, Cocke County, Tennessee",473,14,2.96,459,55.33,"Census Tract 9204, Cocke County, Tennessee",559,13,2.33,546,59.33,"Census Tract 9204, Cocke County, Tennessee",619,15,2.42,604,54.91
62,47157001100,"Census Tract 11, Shelby County, Tennessee",1393,0,0.0,1393,27.07,"Census Tract 11, Shelby County, Tennessee",1186,0,0.0,1186,26.1,"Census Tract 11, Shelby County, Tennessee",1212,24,1.98,1188,31.8
63,47037013300,"Census Tract 133, Davidson County, Tennessee",2211,27,1.22,2184,24.77,"Census Tract 133, Davidson County, Tennessee",2238,50,2.23,2188,24.56,"Census Tract 133, Davidson County, Tennessee",2698,172,6.38,2526,24.92
64,47037018102,"Census Tract 181.02, Davidson County, Tennessee",1779,129,7.25,1650,27.1,"Census Tract 181.02, Davidson County, Tennessee",1883,182,9.67,1701,27.78,"Census Tract 181.02, Davidson County, Tennessee",1752,129,7.36,1623,24.06
65,47029920100,"Census Tract 9201, Cocke County, Tennessee",1418,11,0.78,1407,32.53,"Census Tract 9201, Cocke County, Tennessee",1434,51,3.56,1383,33.02,"Census Tract 9201, Cocke County, Tennessee",1666,37,2.22,1629,35.7
66,47029920502,"Census Tract 9205.02, Cocke County, Tennessee",2664,0,0.0,2664,37.28,"Census Tract 9205.02, Cocke County, Tennessee",2749,21,0.76,2728,38.09,"Census Tract 9205.02, Cocke County, Tennessee",2667,94,3.52,2573,39.77
67,47029920200,"Census Tract 9202, Cocke County, Tennessee",2134,38,1.78,2096,23.03,"Census Tract 9202, Cocke County, Tennessee",2343,31,1.32,2312,22.56,"Census Tract 9202, Cocke County, Tennessee",2173,0,0.0,2173,20.92
68,47029920600,"Census Tract 9206, Cocke County, Tennessee",1708,56,3.28,1652,25.99,"Census Tract 9206, Cocke County, Tennessee",1649,35,2.12,1614,25.85,"Census Tract 9206, Cocke County, Tennessee",1416,28,1.98,1388,33.06
69,47029920300,"Census Tract 9203, Cocke County, Tennessee",1542,60,3.89,1482,36.64,"Census Tract 9203, Cocke County, Tennessee",1635,74,4.53,1561,37.75,"Census Tract 9203, Cocke County, Tennessee",1770,27,1.53,1743,34.01
70,47029920501,"Census Tract 9205.01, Cocke County, Tennessee",2147,0,0.0,2147,31.41,"Census Tract 9205.01, Cocke County, Tennessee",2098,21,1.0,2077,34.91,"Census Tract 9205.01, Cocke County, Tennessee",1822,11,0.6,1811,28.32
71,47065011324,"Census Tract 113.24, Hamilton County, Tennessee",2171,130,5.99,2041,30.74,"Census Tract 113.24, Hamilton County, Tennessee",2168,207,9.55,1961,30.66,"Census Tract 113.24, Hamilton County, Tennessee",2198,293,13.33,1905,32.18
72,47019070400,"Census Tract 704, Carter County, Tennessee",708,10,1.41,698,25.65,"Census Tract 704, Carter County, Tennessee",782,14,1.79,768,28.11,"Census Tract 704, Carter County, Tennessee",719,6,0.83,713,30.34
73,47019070700,"Census Tract 707, Carter County, Tennessee",1374,15,1.09,1359,30.14,"Census Tract 707, Carter County, Tennessee",1486,27,1.82,1459,32.09,"Census Tract 707, Carter County, Tennessee",1701,72,4.23,1629,28.73
74,47065001300,"Census Tract 13, Hamilton County, Tennessee",567,29,5.11,538,19.06,"Census Tract 13, Hamilton County, Tennessee",710,62,8.73,648,18.85,"Census Tract 13, Hamilton County, Tennessee",766,55,7.18,711,19.5
75,47031970801,"Census Tract 9708.01, Coffee County, Tennessee",1786,62,3.47,1724,22.95,"Census Tract 9708.01, Coffee County, Tennessee",1818,65,3.58,1753,23.35,"Census Tract 9708.01, Coffee County, Tennessee",1680,36,2.14,1644,27.27
76,47031980100,"Census Tract 9801, Coffee County, Tennessee",0,0,,0,0.0,"Census Tract 9801, Coffee County, Tennessee",0,0,,0,0.0,"Census Tract 9801, Coffee County, Tennessee",4,0,0.0,4,14.0
77,47065001400,"Census Tract 14, Hamilton County, Tennessee",865,33,3.82,832,17.34,"Census Tract 14, Hamilton County, Tennessee",832,31,3.73,801,18.89,"Census Tract 14, Hamilton County, Tennessee",952,62,6.51,890,21.32
78,47065003000,"Census Tract 30, Hamilton County, Tennessee",1195,28,2.34,1167,22.09,"Census Tract 30, Hamilton County, Tennessee",1146,25,2.18,1121,21.4,"Census Tract 30, Hamilton County, Tennessee",1070,35,3.27,1035,21.47
